person_id,household_id,day,start_time_min,end_time_min,purpose,zone_id,x,y,zone,activity_type
52,17,6,8013,8073,OTHER,119,4457513.57698974,5409919.60810269,119,OTHER_PRIMARY
52,17,6,8084,8144,HOME,237,4460026,5403523.5,237,MANDATORY
52,17,6,8084,8144,HOME,237,4460026,5403523.5,237,MANDATORY
52,17,6,8150,8270,RECREATION,149,4454520.92838226,5403822.28611941,149,RECREATION_PRIMARY
52,17,6,8276,8639,HOME,237,4460026,5403523.5,237,MANDATORY
52,17,7,8640,8797,HOME,237,4460026,5403523.5,237,MANDATORY
52,17,7,8801,8921,RECREATION,144,4457790.93206757,5405508.80588518,144,RECREATION_PRIMARY
52,17,7,8925,9320,HOME,237,4460026,5403523.5,237,MANDATORY
52,17,7,8925,9320,HOME,237,4460026,5403523.5,237,MANDATORY
52,17,7,9322,9382,OTHER,191,4458613.09820133,5404119.49700228,191,OTHER_PRIMARY
52,17,7,9384,9496,HOME,237,4460026,5403523.5,237,MANDATORY
52,17,7,9384,9496,HOME,237,4460026,5403523.5,237,MANDATORY
52,17,7,9504,9534,OTHER,101,4452367.10988106,5402241.1256417,101,OTHER_PRIMARY
52,17,7,9542,10079,HOME,237,4460026,5403523.5,237,MANDATORY
53,17,1,0,1172,HOME,237,4460026,5403523.5,237,MANDATORY
53,17,1,1179,1299,RECREATION,133,4454960.9375263,5405631.65341303,133,RECREATION_PRIMARY
53,17,1,1306,1439,HOME,237,4460026,5403523.5,237,MANDATORY
53,17,2,1440,2197,HOME,237,4460026,5403523.5,237,MANDATORY
53,17,2,2198,2273,WORK,199,4458778.3019073,5403378.80359877,199,MANDATORY
53,17,2,2274,2507,HOME,237,4460026,5403523.5,237,MANDATORY
53,17,2,2274,2507,HOME,237,4460026,5403523.5,237,MANDATORY
53,17,2,2514,2559,RECREATION,151,4454761.5519912,5403453.73023627,151,RECREATION_PRIMARY
53,17,2,2566,2879,HOME,237,4460026,5403523.5,237,MANDATORY
53,17,3,2880,3636,HOME,237,4460026,5403523.5,237,MANDATORY
53,17,3,3638,3713,WORK,190,4458146.45450276,5404220.16829718,190,MANDATORY
53,17,3,3715,3762,HOME,237,4460026,5403523.5,237,MANDATORY
53,17,3,3715,3762,HOME,237,4460026,5403523.5,237,MANDATORY
53,17,3,3765,3790,SHOPPING,210,4458252.63451234,5402341.849345,210,SHOP_PRIMARY
53,17,3,3793,4319,HOME,237,4460026,5403523.5,237,MANDATORY
53,17,4,4320,5072,HOME,237,4460026,5403523.5,237,MANDATORY
53,17,4,5078,5153,WORK,149,4454597.49855175,5403784.6523963,149,MANDATORY
53,17,4,5159,5340,HOME,237,4460026,5403523.5,237,MANDATORY
53,17,4,5159,5340,HOME,237,4460026,5403523.5,237,MANDATORY
